shot_id,campaign,current_range,divertor_config,plasma_shape,preshot_description,postshot_description,timestamp,heating,pellets,rmp_coil
11766,M5,,Conventional,,"
RELOAD 10232 PLASMA CONDITIONING SHOT FROM M4
","
GOOD PLASMA, RAN FINE. SL JOINT ALARMS RATHER HIGH
",2005-01-13 12:02:00,,False,
11767,M5,,Conventional,,"
REPEAT
","
OK BUT LOST VERTICAL CONTROL - FA2 JUST DIED AWAY. SL JOINT ALARMS A BIT LOWER.
",2005-01-13 12:17:00,,False,
11768,M5,,Conventional,,"
SELECT ALL 4 FAS AND LOAD EFC SETTINGS FROM 11436
","
OK. GOT FA4 BUT NOT FA3
",2005-01-13 13:30:00,,False,
11769,M5,,Conventional,,"
REPEAT, WITH TF RAISED TO 0.58.
","
SLIDING JOINT ALARMS A BIT LOWER. PLASMA OK.
",2005-01-13 13:44:00,,False,
11771,M5,,Conventional,,"
RELOADED 11769 AND SET UP PLASMA CURRENT FEEDBACK TO MATCH FLAT TOP OF THAT SHOT.
","
GOOD PLASMA F/B CONTROL. SLIDING JOINT ALARMS A BIT LOWER.
",2005-01-13 14:33:00,,False,
11772,M5,,Conventional,,"
INCREASED P1PS LIMIT TO 40KA. INCREASED INITIAL 
VE DIVERTER CURRENT. EXTENDED BV TO SUPPORT FLAT TOP.
","
LONGER FLAT TOP AS INTENDED. SLIDING JOINT ALARMS LOWER.
",2005-01-13 15:02:00,,False,
11773,M5,,Conventional,,"
SET UP RADIAL FEEDBACK TO HOLD RADIUS AFTER 140MS
","
SCHEDULER HUNG. RADIUS LOOKS WELL CONTROLLED BUT ADA DALPHA PEAK RADIUS IS BONKERS AROUND 200MS
",2005-01-13 15:26:00,,False,
11774,M5,,Conventional,,"
RAISE PLASMA CURRENT
","
LOOKS GOOD ON DATA BUT BLANK PICTURE ON HSV
",2005-01-13 15:51:00,,False,
11775,M5,,Conventional,,"
REPEAT TO CHECK HSV
","
HSV DOESN'T GET TRIGGER - NOT SURE WHY
",2005-01-13 16:05:00,,False,
11776,M5,,Conventional,,"
REPEAT AFTER TESTING TIMER
","
FINALLY GOT VISIBLE PLASMA. TOUCHES OUTBOARD COMPONENTS DURING PLASMA CURRENT RAMPDOWN
",2005-01-13 16:35:00,,False,
11777,M5,,Conventional,,"
ADJUST BV AND SHAPE TO IMPROVE RAMPDOWN
","
NO HSV AGAIN - LOOKS LIKE IT TRIGGERED LATE
",2005-01-13 16:56:00,,False,
11779,M5,,Conventional,,"
OVERALL INCREASE OF GAS (PREFILL AND FUELLING)
","
GOT HSV. PLASMA DENSITY INCREASES AT END BUT VDE TERMINATION. DENSITY HAS GENERALLY BEEN QUITE LOW TODAY
",2005-01-13 18:25:00,,False,
11780,M5,,Conventional,,"
OVERALL INCREASE OF GAS (BOTH PREFILL AND FUELLING)
","
MARGINAL INCREASE IN STARTING DENSITY BUT RAMPS UP CONSIDERABLY DURING SHOT. SL JOINT ALARM TREND IS STILL UPWARDS. DECIDE TO SUSPEN
",2005-01-13 18:49:00,,False,
11789,M5,,Conventional,,"
RELOAD 11780
","
SJA MAX (10) 132%, FINE OTHERWISE, FA3 NOT WORKING, NO ANE
",2005-01-18 09:46:00,,False,
11790,M5,,Conventional,,"
REPEAT
","
SJA (9) MAX 127.2% GETTING BETTER, NO ANE
",2005-01-18 10:06:00,,False,
11791,M5,,Conventional,,"
GDC TO 10MIN, REPEAT
","
SJA (8) MAX 125.3%, NO ANE
",2005-01-18 10:24:00,,False,
11794,M5,,Conventional,,"
RESTORED DATAK AND REPEAT
","
SJA (9) MAX 125.8% A BIT WORSE THAN BEFORE, NO ANE, SHOTS GETTING SHORTER
",2005-01-18 11:09:00,,False,
11795,M5,,Conventional,,"
REPEAT
","
SJA (10) 125%
",2005-01-18 11:25:00,,False,
11796,M5,,Conventional,,"
MINOR VLOOP CHANGES TO CLEAN UP CURRENT RAMP
","
SJA (10) MAX 123.5%
",2005-01-18 11:41:00,,False,
11797,M5,,Conventional,,"
REPEAT
","
SJA (11) MAX 124%
",2005-01-18 11:57:00,,False,
